# conv1 output: 24x24x6
# Format: channel, y, x, value
0, 0, 0, 0
0, 0, 1, 0
0, 0, 2, 0
0, 0, 3, 0
0, 0, 4, 0
0, 0, 5, 0
0, 0, 6, 0
0, 0, 7, 0
0, 0, 8, 0
0, 0, 9, 0
0, 0, 10, 0
0, 0, 11, 0
0, 0, 12, 0
0, 0, 13, 0
0, 0, 14, 0
0, 0, 15, 0
0, 0, 16, 0
0, 0, 17, 0
0, 0, 18, 0
0, 0, 19, 0
0, 0, 20, 0
0, 0, 21, 0
0, 0, 22, 0
0, 0, 23, 0
0, 1, 0, 0
0, 1, 1, 0
0, 1, 2, 0
0, 1, 3, 0
0, 1, 4, 0
0, 1, 5, 0
0, 1, 6, 0
0, 1, 7, 0
0, 1, 8, 0
0, 1, 9, 7
0, 1, 10, 0
0, 1, 11, 2
0, 1, 12, 0
0, 1, 13, 0
0, 1, 14, 0
0, 1, 15, 0
0, 1, 16, 0
0, 1, 17, 0
0, 1, 18, 0
0, 1, 19, 0
0, 1, 20, 0
0, 1, 21, 0
0, 1, 22, 0
0, 1, 23, 0
0, 2, 0, 0
0, 2, 1, 0
0, 2, 2, 0
0, 2, 3, 0
0, 2, 4, 0
0, 2, 5, 0
0, 2, 6, 0
0, 2, 7, 0
0, 2, 8, 0
0, 2, 9, 25
0, 2, 10, 0
0, 2, 11, 0
0, 2, 12, 0
0, 2, 13, 0
0, 2, 14, 0
0, 2, 15, 0
0, 2, 16, 0
0, 2, 17, 5
0, 2, 18, 1
0, 2, 19, 0
0, 2, 20, 0
0, 2, 21, 0
0, 2, 22, 0
0, 2, 23, 0
0, 3, 0, 0
0, 3, 1, 0
0, 3, 2, 0
0, 3, 3, 0
0, 3, 4, 0
0, 3, 5, 0
0, 3, 6, 0
0, 3, 7, 0
0, 3, 8, 3
0, 3, 9, 36
0, 3, 10, 4
0, 3, 11, 0
0, 3, 12, 0
0, 3, 13, 0
0, 3, 14, 0
0, 3, 15, 0
0, 3, 16, 0
0, 3, 17, 5
0, 3, 18, 24
0, 3, 19, 0
0, 3, 20, 0
0, 3, 21, 0
0, 3, 22, 0
0, 3, 23, 0
0, 4, 0, 0
0, 4, 1, 0
0, 4, 2, 0
0, 4, 3, 0
0, 4, 4, 0
0, 4, 5, 0
0, 4, 6, 0
0, 4, 7, 0
0, 4, 8, 9
0, 4, 9, 30
0, 4, 10, 27
0, 4, 11, 0
0, 4, 12, 0
0, 4, 13, 0
0, 4, 14, 0
0, 4, 15, 0
0, 4, 16, 0
0, 4, 17, 0
0, 4, 18, 53
0, 4, 19, 0
0, 4, 20, 0
0, 4, 21, 0
0, 4, 22, 0
0, 4, 23, 0
0, 5, 0, 0
0, 5, 1, 0
0, 5, 2, 0
0, 5, 3, 0
0, 5, 4, 0
0, 5, 5, 0
0, 5, 6, 0
0, 5, 7, 28
0, 5, 8, 33
0, 5, 9, 25
0, 5, 10, 48
0, 5, 11, 10
0, 5, 12, 0
0, 5, 13, 0
0, 5, 14, 0
0, 5, 15, 0
0, 5, 16, 0
0, 5, 17, 0
0, 5, 18, 54
0, 5, 19, 32
0, 5, 20, 0
0, 5, 21, 0
0, 5, 22, 0
0, 5, 23, 0
0, 6, 0, 0
0, 6, 1, 0
0, 6, 2, 0
0, 6, 3, 0
0, 6, 4, 0
0, 6, 5, 0
0, 6, 6, 4
0, 6, 7, 54
0, 6, 8, 24
0, 6, 9, 22
0, 6, 10, 48
0, 6, 11, 21
0, 6, 12, 0
0, 6, 13, 0
0, 6, 14, 0
0, 6, 15, 0
0, 6, 16, 0
0, 6, 17, 12
0, 6, 18, 44
0, 6, 19, 55
0, 6, 20, 3
0, 6, 21, 0
0, 6, 22, 0
0, 6, 23, 0
0, 7, 0, 0
0, 7, 1, 0
0, 7, 2, 0
0, 7, 3, 0
0, 7, 4, 0
0, 7, 5, 0
0, 7, 6, 37
0, 7, 7, 64
0, 7, 8, 23
0, 7, 9, 30
0, 7, 10, 41
0, 7, 11, 25
0, 7, 12, 0
0, 7, 13, 0
0, 7, 14, 0
0, 7, 15, 0
0, 7, 16, 2
0, 7, 17, 25
0, 7, 18, 46
0, 7, 19, 50
0, 7, 20, 9
0, 7, 21, 0
0, 7, 22, 0
0, 7, 23, 0
0, 8, 0, 0
0, 8, 1, 0
0, 8, 2, 0
0, 8, 3, 0
0, 8, 4, 0
0, 8, 5, 0
0, 8, 6, 45
0, 8, 7, 57
0, 8, 8, 26
0, 8, 9, 28
0, 8, 10, 35
0, 8, 11, 14
0, 8, 12, 0
0, 8, 13, 0
0, 8, 14, 0
0, 8, 15, 0
0, 8, 16, 35
0, 8, 17, 30
0, 8, 18, 47
0, 8, 19, 56
0, 8, 20, 17
0, 8, 21, 0
0, 8, 22, 0
0, 8, 23, 0
0, 9, 0, 0
0, 9, 1, 0
0, 9, 2, 0
0, 9, 3, 0
0, 9, 4, 0
0, 9, 5, 40
0, 9, 6, 65
0, 9, 7, 41
0, 9, 8, 39
0, 9, 9, 31
0, 9, 10, 24
0, 9, 11, 0
0, 9, 12, 0
0, 9, 13, 0
0, 9, 14, 0
0, 9, 15, 0
0, 9, 16, 59
0, 9, 17, 41
0, 9, 18, 33
0, 9, 19, 64
0, 9, 20, 22
0, 9, 21, 0
0, 9, 22, 0
0, 9, 23, 0
0, 10, 0, 0
0, 10, 1, 0
0, 10, 2, 0
0, 10, 3, 0
0, 10, 4, 0
0, 10, 5, 57
0, 10, 6, 58
0, 10, 7, 26
0, 10, 8, 48
0, 10, 9, 27
0, 10, 10, 4
0, 10, 11, 0
0, 10, 12, 0
0, 10, 13, 0
0, 10, 14, 0
0, 10, 15, 18
0, 10, 16, 61
0, 10, 17, 57
0, 10, 18, 29
0, 10, 19, 54
0, 10, 20, 28
0, 10, 21, 0
0, 10, 22, 0
0, 10, 23, 0
0, 11, 0, 0
0, 11, 1, 0
0, 11, 2, 0
0, 11, 3, 0
0, 11, 4, 4
0, 11, 5, 52
0, 11, 6, 61
0, 11, 7, 39
0, 11, 8, 37
0, 11, 9, 23
0, 11, 10, 0
0, 11, 11, 0
0, 11, 12, 0
0, 11, 13, 0
0, 11, 14, 0
0, 11, 15, 39
0, 11, 16, 60
0, 11, 17, 60
0, 11, 18, 46
0, 11, 19, 32
0, 11, 20, 20
0, 11, 21, 0
0, 11, 22, 0
0, 11, 23, 0
0, 12, 0, 0
0, 12, 1, 0
0, 12, 2, 0
0, 12, 3, 6
0, 12, 4, 0
0, 12, 5, 19
0, 12, 6, 62
0, 12, 7, 48
0, 12, 8, 12
0, 12, 9, 7
0, 12, 10, 0
0, 12, 11, 0
0, 12, 12, 0
0, 12, 13, 0
0, 12, 14, 0
0, 12, 15, 49
0, 12, 16, 62
0, 12, 17, 50
0, 12, 18, 57
0, 12, 19, 22
0, 12, 20, 5
0, 12, 21, 0
0, 12, 22, 0
0, 12, 23, 0
0, 13, 0, 0
0, 13, 1, 0
0, 13, 2, 0
0, 13, 3, 21
0, 13, 4, 15
0, 13, 5, 0
0, 13, 6, 41
0, 13, 7, 49
0, 13, 8, 0
0, 13, 9, 0
0, 13, 10, 0
0, 13, 11, 0
0, 13, 12, 0
0, 13, 13, 0
0, 13, 14, 12
0, 13, 15, 33
0, 13, 16, 65
0, 13, 17, 52
0, 13, 18, 49
0, 13, 19, 14
0, 13, 20, 0
0, 13, 21, 0
0, 13, 22, 0
0, 13, 23, 0
0, 14, 0, 0
0, 14, 1, 0
0, 14, 2, 0
0, 14, 3, 34
0, 14, 4, 35
0, 14, 5, 0
0, 14, 6, 39
0, 14, 7, 81
0, 14, 8, 18
0, 14, 9, 0
0, 14, 10, 0
0, 14, 11, 0
0, 14, 12, 0
0, 14, 13, 1
0, 14, 14, 28
0, 14, 15, 40
0, 14, 16, 69
0, 14, 17, 51
0, 14, 18, 45
0, 14, 19, 14
0, 14, 20, 0
0, 14, 21, 0
0, 14, 22, 0
0, 14, 23, 0
0, 15, 0, 0
0, 15, 1, 0
0, 15, 2, 0
0, 15, 3, 21
0, 15, 4, 42
0, 15, 5, 10
0, 15, 6, 28
0, 15, 7, 92
0, 15, 8, 90
0, 15, 9, 47
0, 15, 10, 45
0, 15, 11, 46
0, 15, 12, 19
0, 15, 13, 24
0, 15, 14, 65
0, 15, 15, 63
0, 15, 16, 72
0, 15, 17, 60
0, 15, 18, 29
0, 15, 19, 11
0, 15, 20, 0
0, 15, 21, 0
0, 15, 22, 0
0, 15, 23, 0
0, 16, 0, 0
0, 16, 1, 0
0, 16, 2, 0
0, 16, 3, 16
0, 16, 4, 36
0, 16, 5, 29
0, 16, 6, 15
0, 16, 7, 44
0, 16, 8, 70
0, 16, 9, 61
0, 16, 10, 45
0, 16, 11, 54
0, 16, 12, 52
0, 16, 13, 32
0, 16, 14, 60
0, 16, 15, 99
0, 16, 16, 100
0, 16, 17, 67
0, 16, 18, 16
0, 16, 19, 8
0, 16, 20, 0
0, 16, 21, 0
0, 16, 22, 0
0, 16, 23, 0
0, 17, 0, 0
0, 17, 1, 0
0, 17, 2, 0
0, 17, 3, 2
0, 17, 4, 21
0, 17, 5, 39
0, 17, 6, 42
0, 17, 7, 49
0, 17, 8, 72
0, 17, 9, 85
0, 17, 10, 86
0, 17, 11, 87
0, 17, 12, 83
0, 17, 13, 52
0, 17, 14, 52
0, 17, 15, 91
0, 17, 16, 101
0, 17, 17, 68
0, 17, 18, 17
0, 17, 19, 0
0, 17, 20, 0
0, 17, 21, 0
0, 17, 22, 0
0, 17, 23, 0
0, 18, 0, 0
0, 18, 1, 0
0, 18, 2, 0
0, 18, 3, 0
0, 18, 4, 0
0, 18, 5, 3
0, 18, 6, 12
0, 18, 7, 13
0, 18, 8, 15
0, 18, 9, 23
0, 18, 10, 17
0, 18, 11, 10
0, 18, 12, 21
0, 18, 13, 19
0, 18, 14, 17
0, 18, 15, 49
0, 18, 16, 88
0, 18, 17, 64
0, 18, 18, 16
0, 18, 19, 0
0, 18, 20, 0
0, 18, 21, 0
0, 18, 22, 0
0, 18, 23, 0
0, 19, 0, 0
0, 19, 1, 0
0, 19, 2, 0
0, 19, 3, 0
0, 19, 4, 0
0, 19, 5, 0
0, 19, 6, 0
0, 19, 7, 0
0, 19, 8, 0
0, 19, 9, 0
0, 19, 10, 0
0, 19, 11, 0
0, 19, 12, 0
0, 19, 13, 3
0, 19, 14, 34
0, 19, 15, 54
0, 19, 16, 84
0, 19, 17, 68
0, 19, 18, 11
0, 19, 19, 3
0, 19, 20, 0
0, 19, 21, 0
0, 19, 22, 0
0, 19, 23, 0
0, 20, 0, 0
0, 20, 1, 0
0, 20, 2, 0
0, 20, 3, 0
0, 20, 4, 0
0, 20, 5, 0
0, 20, 6, 0
0, 20, 7, 0
0, 20, 8, 0
0, 20, 9, 0
0, 20, 10, 0
0, 20, 11, 0
0, 20, 12, 0
0, 20, 13, 14
0, 20, 14, 63
0, 20, 15, 46
0, 20, 16, 59
0, 20, 17, 75
0, 20, 18, 14
0, 20, 19, 0
0, 20, 20, 0
0, 20, 21, 0
0, 20, 22, 0
0, 20, 23, 0
0, 21, 0, 0
0, 21, 1, 0
0, 21, 2, 0
0, 21, 3, 0
0, 21, 4, 0
0, 21, 5, 0
0, 21, 6, 0
0, 21, 7, 0
0, 21, 8, 0
0, 21, 9, 0
0, 21, 10, 0
0, 21, 11, 0
0, 21, 12, 17
0, 21, 13, 35
0, 21, 14, 58
0, 21, 15, 50
0, 21, 16, 47
0, 21, 17, 72
0, 21, 18, 25
0, 21, 19, 0
0, 21, 20, 0
0, 21, 21, 0
0, 21, 22, 0
0, 21, 23, 0
0, 22, 0, 0
0, 22, 1, 0
0, 22, 2, 0
0, 22, 3, 0
0, 22, 4, 0
0, 22, 5, 0
0, 22, 6, 0
0, 22, 7, 0
0, 22, 8, 0
0, 22, 9, 0
0, 22, 10, 0
0, 22, 11, 0
0, 22, 12, 21
0, 22, 13, 32
0, 22, 14, 30
0, 22, 15, 54
0, 22, 16, 43
0, 22, 17, 52
0, 22, 18, 27
0, 22, 19, 0
0, 22, 20, 0
0, 22, 21, 0
0, 22, 22, 0
0, 22, 23, 0
0, 23, 0, 0
0, 23, 1, 0
0, 23, 2, 0
0, 23, 3, 0
0, 23, 4, 0
0, 23, 5, 0
0, 23, 6, 0
0, 23, 7, 0
0, 23, 8, 0
0, 23, 9, 0
0, 23, 10, 0
0, 23, 11, 0
0, 23, 12, 20
0, 23, 13, 39
0, 23, 14, 13
0, 23, 15, 29
0, 23, 16, 43
0, 23, 17, 32
0, 23, 18, 11
0, 23, 19, 0
0, 23, 20, 0
0, 23, 21, 0
0, 23, 22, 0
0, 23, 23, 0
1, 0, 0, 1
1, 0, 1, 1
1, 0, 2, 1
1, 0, 3, 1
1, 0, 4, 1
1, 0, 5, 1
1, 0, 6, 1
1, 0, 7, 1
1, 0, 8, 1
1, 0, 9, 1
1, 0, 10, 1
1, 0, 11, 1
1, 0, 12, 1
1, 0, 13, 1
1, 0, 14, 1
1, 0, 15, 1
1, 0, 16, 1
1, 0, 17, 1
1, 0, 18, 1
1, 0, 19, 1
1, 0, 20, 1
1, 0, 21, 1
1, 0, 22, 1
1, 0, 23, 1
1, 1, 0, 1
1, 1, 1, 1
1, 1, 2, 1
1, 1, 3, 1
1, 1, 4, 1
1, 1, 5, 1
1, 1, 6, 0
1, 1, 7, 0
1, 1, 8, 0
1, 1, 9, 0
1, 1, 10, 0
1, 1, 11, 0
1, 1, 12, 1
1, 1, 13, 1
1, 1, 14, 1
1, 1, 15, 0
1, 1, 16, 0
1, 1, 17, 0
1, 1, 18, 0
1, 1, 19, 0
1, 1, 20, 0
1, 1, 21, 1
1, 1, 22, 1
1, 1, 23, 1
1, 2, 0, 1
1, 2, 1, 1
1, 2, 2, 1
1, 2, 3, 1
1, 2, 4, 1
1, 2, 5, 1
1, 2, 6, 0
1, 2, 7, 0
1, 2, 8, 0
1, 2, 9, 0
1, 2, 10, 0
1, 2, 11, 0
1, 2, 12, 1
1, 2, 13, 1
1, 2, 14, 1
1, 2, 15, 0
1, 2, 16, 0
1, 2, 17, 0
1, 2, 18, 0
1, 2, 19, 0
1, 2, 20, 0
1, 2, 21, 1
1, 2, 22, 1
1, 2, 23, 1
1, 3, 0, 1
1, 3, 1, 1
1, 3, 2, 1
1, 3, 3, 1
1, 3, 4, 1
1, 3, 5, 0
1, 3, 6, 0
1, 3, 7, 0
1, 3, 8, 0
1, 3, 9, 0
1, 3, 10, 0
1, 3, 11, 0
1, 3, 12, 1
1, 3, 13, 1
1, 3, 14, 1
1, 3, 15, 0
1, 3, 16, 0
1, 3, 17, 0
1, 3, 18, 0
1, 3, 19, 0
1, 3, 20, 0
1, 3, 21, 0
1, 3, 22, 1
1, 3, 23, 1
1, 4, 0, 1
1, 4, 1, 1
1, 4, 2, 1
1, 4, 3, 1
1, 4, 4, 1
1, 4, 5, 0
1, 4, 6, 0
1, 4, 7, 0
1, 4, 8, 0
1, 4, 9, 0
1, 4, 10, 0
1, 4, 11, 16
1, 4, 12, 1
1, 4, 13, 1
1, 4, 14, 1
1, 4, 15, 13
1, 4, 16, 0
1, 4, 17, 0
1, 4, 18, 0
1, 4, 19, 0
1, 4, 20, 0
