# fc2 output: 84 neurons
# Format: neuron_index, value
0, 51
1, 14
2, 31
3, 0
4, 0
5, 48
6, 0
7, 0
8, 81
9, 0
10, 39
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 25
18, 0
19, 47
20, 46
21, 0
22, 0
23, 0
24, 0
25, 6
26, 73
27, 0
28, 0
29, 0
30, 52
31, 0
32, 64
33, 49
34, 0
35, 81
36, 0
37, 0
38, 0
39, 0
40, 0
41, 72
42, 37
43, 0
44, 32
45, 0
46, 112
47, 116
48, 0
49, 0
50, 0
51, 0
52, 12
53, 81
54, 27
55, 0
56, 0
57, 0
58, 0
59, 0
60, 45
61, 0
62, 52
63, 51
64, 82
65, 0
66, 82
67, 80
68, 90
69, 48
70, 0
71, 0
72, 11
73, 0
74, 60
75, 54
76, 0
77, 0
78, 80
79, 0
80, 19
81, 0
82, 0
83, 96
