# flatten output: 256 neurons
# Format: index, value
0, 0
1, 46
2, 0
3, 0
4, 19
5, 0
6, 0
7, 0
8, 126
9, 82
10, 17
11, 41
12, 0
13, 0
14, 0
15, 95
16, 127
17, 12
18, 33
19, 0
20, 51
21, 0
22, 0
23, 0
24, 62
25, 20
26, 85
27, 26
28, 127
29, 0
30, 14
31, 127
32, 127
33, 0
34, 0
35, 0
36, 103
37, 0
38, 0
39, 0
40, 27
41, 74
42, 26
43, 0
44, 0
45, 0
46, 9
47, 12
48, 0
49, 64
50, 23
51, 0
52, 8
53, 0
54, 0
55, 0
56, 48
57, 21
58, 2
59, 17
60, 127
61, 0
62, 0
63, 127
64, 0
65, 48
66, 0
67, 0
68, 0
69, 0
70, 30
71, 0
72, 127
73, 0
74, 79
75, 0
76, 127
77, 69
78, 0
79, 0
80, 127
81, 0
82, 0
83, 0
84, 127
85, 0
86, 16
87, 127
88, 0
89, 79
90, 82
91, 0
92, 127
93, 106
94, 0
95, 14
96, 59
97, 5
98, 0
99, 20
100, 83
101, 47
102, 0
103, 0
104, 127
105, 59
106, 0
107, 40
108, 0
109, 0
110, 0
111, 123
112, 42
113, 58
114, 0
115, 6
116, 0
117, 0
118, 18
119, 62
120, 127
121, 0
122, 56
123, 56
124, 127
125, 0
126, 0
127, 99
128, 0
129, 44
130, 127
131, 68
132, 0
133, 92
134, 127
135, 49
136, 115
137, 0
138, 58
139, 90
140, 127
141, 127
142, 127
143, 14
144, 0
145, 0
146, 127
147, 0
148, 127
149, 127
150, 68
151, 127
152, 41
153, 108
154, 0
155, 9
156, 0
157, 127
158, 127
159, 41
160, 0
161, 44
162, 79
163, 0
164, 96
165, 0
166, 28
167, 0
168, 127
169, 0
170, 56
171, 14
172, 79
173, 45
174, 127
175, 82
176, 127
177, 62
178, 25
179, 0
180, 49
181, 0
182, 69
183, 127
184, 27
185, 30
186, 0
187, 0
188, 127
189, 44
190, 50
191, 10
192, 0
193, 20
194, 0
195, 127
196, 0
197, 127
198, 31
199, 102
200, 35
201, 0
202, 25
203, 46
204, 0
205, 14
206, 0
207, 0
208, 0
209, 0
210, 0
211, 127
212, 0
213, 127
214, 0
215, 92
216, 27
217, 0
218, 38
219, 19
220, 0
221, 0
222, 0
223, 0
224, 0
225, 110
226, 0
227, 127
228, 0
229, 98
230, 19
231, 23
232, 127
233, 0
234, 70
235, 127
236, 56
237, 62
238, 0
239, 56
240, 127
241, 36
242, 0
243, 0
244, 83
245, 0
246, 40
247, 127
248, 0
249, 24
250, 0
251, 127
252, 127
253, 78
254, 0
255, 81
