# pool1 output: 12x12x6
# Format: channel, y, x, value
0, 0, 0, 0
0, 0, 1, 0
0, 0, 2, 0
0, 0, 3, 0
0, 0, 4, 4
0, 0, 5, 1
0, 0, 6, 0
0, 0, 7, 0
0, 0, 8, 0
0, 0, 9, 0
0, 0, 10, 0
0, 0, 11, 0
0, 1, 0, 0
0, 1, 1, 0
0, 1, 2, 0
0, 1, 3, 0
0, 1, 4, 20
0, 1, 5, 2
0, 1, 6, 0
0, 1, 7, 0
0, 1, 8, 3
0, 1, 9, 14
0, 1, 10, 0
0, 1, 11, 0
0, 2, 0, 0
0, 2, 1, 0
0, 2, 2, 0
0, 2, 3, 16
0, 2, 4, 18
0, 2, 5, 28
0, 2, 6, 0
0, 2, 7, 0
0, 2, 8, 0
0, 2, 9, 30
0, 2, 10, 0
0, 2, 11, 0
0, 3, 0, 0
0, 3, 1, 0
0, 3, 2, 0
0, 3, 3, 36
0, 3, 4, 18
0, 3, 5, 28
0, 3, 6, 0
0, 3, 7, 0
0, 3, 8, 14
0, 3, 9, 32
0, 3, 10, 6
0, 3, 11, 0
0, 4, 0, 0
0, 4, 1, 0
0, 4, 2, 23
0, 4, 3, 36
0, 4, 4, 23
0, 4, 5, 20
0, 4, 6, 0
0, 4, 7, 0
0, 4, 8, 33
0, 4, 9, 37
0, 4, 10, 13
0, 4, 11, 0
0, 5, 0, 0
0, 5, 1, 0
0, 5, 2, 32
0, 5, 3, 34
0, 5, 4, 28
0, 5, 5, 3
0, 5, 6, 0
0, 5, 7, 22
0, 5, 8, 34
0, 5, 9, 32
0, 5, 10, 16
0, 5, 11, 0
0, 6, 0, 0
0, 6, 1, 12
0, 6, 2, 10
0, 6, 3, 35
0, 6, 4, 7
0, 6, 5, 0
0, 6, 6, 0
0, 6, 7, 27
0, 6, 8, 37
0, 6, 9, 33
0, 6, 10, 3
0, 6, 11, 0
0, 7, 0, 0
0, 7, 1, 20
0, 7, 2, 24
0, 7, 3, 53
0, 7, 4, 51
0, 7, 5, 27
0, 7, 6, 14
0, 7, 7, 37
0, 7, 8, 41
0, 7, 9, 26
0, 7, 10, 0
0, 7, 11, 0
0, 8, 0, 0
0, 8, 1, 9
0, 8, 2, 22
0, 8, 3, 28
0, 8, 4, 48
0, 8, 5, 49
0, 8, 6, 47
0, 8, 7, 56
0, 8, 8, 57
0, 8, 9, 10
0, 8, 10, 0
0, 8, 11, 0
0, 9, 0, 0
0, 9, 1, 0
0, 9, 2, 2
0, 9, 3, 8
0, 9, 4, 13
0, 9, 5, 10
0, 9, 6, 12
0, 9, 7, 30
0, 9, 8, 49
0, 9, 9, 10
0, 9, 10, 0
0, 9, 11, 0
0, 10, 0, 0
0, 10, 1, 0
0, 10, 2, 0
0, 10, 3, 0
0, 10, 4, 0
0, 10, 5, 0
0, 10, 6, 20
0, 10, 7, 35
0, 10, 8, 44
0, 10, 9, 14
0, 10, 10, 0
0, 10, 11, 0
0, 11, 0, 0
0, 11, 1, 0
0, 11, 2, 0
0, 11, 3, 0
0, 11, 4, 0
0, 11, 5, 0
0, 11, 6, 22
0, 11, 7, 31
0, 11, 8, 30
0, 11, 9, 16
0, 11, 10, 0
0, 11, 11, 0
1, 0, 0, 1
1, 0, 1, 1
1, 0, 2, 1
1, 0, 3, 1
1, 0, 4, 1
1, 0, 5, 1
1, 0, 6, 1
1, 0, 7, 1
1, 0, 8, 1
1, 0, 9, 1
1, 0, 10, 1
1, 0, 11, 1
1, 1, 0, 1
1, 1, 1, 1
1, 1, 2, 1
1, 1, 3, 0
1, 1, 4, 0
1, 1, 5, 0
1, 1, 6, 1
1, 1, 7, 1
1, 1, 8, 0
1, 1, 9, 0
1, 1, 10, 1
1, 1, 11, 1
1, 2, 0, 1
1, 2, 1, 1
1, 2, 2, 1
1, 2, 3, 0
1, 2, 4, 0
1, 2, 5, 9
1, 2, 6, 1
1, 2, 7, 8
1, 2, 8, 2
1, 2, 9, 0
1, 2, 10, 0
1, 2, 11, 1
1, 3, 0, 1
1, 3, 1, 1
1, 3, 2, 0
1, 3, 3, 0
1, 3, 4, 37
1, 3, 5, 30
1, 3, 6, 1
1, 3, 7, 0
1, 3, 8, 0
1, 3, 9, 0
1, 3, 10, 2
1, 3, 11, 1
1, 4, 0, 1
1, 4, 1, 1
1, 4, 2, 0
1, 4, 3, 13
1, 4, 4, 35
1, 4, 5, 0
1, 4, 6, 1
1, 4, 7, 0
1, 4, 8, 0
1, 4, 9, 18
1, 4, 10, 7
1, 4, 11, 1
1, 5, 0, 1
1, 5, 1, 6
1, 5, 2, 7
1, 5, 3, 20
1, 5, 4, 24
1, 5, 5, 1
1, 5, 6, 1
1, 5, 7, 0
1, 5, 8, 9
1, 5, 9, 25
1, 5, 10, 1
1, 5, 11, 1
1, 6, 0, 1
1, 6, 1, 22
1, 6, 2, 36
1, 6, 3, 0
1, 6, 4, 0
1, 6, 5, 0
1, 6, 6, 0
1, 6, 7, 0
1, 6, 8, 3
1, 6, 9, 5
1, 6, 10, 1
1, 6, 11, 1
1, 7, 0, 1
1, 7, 1, 25
1, 7, 2, 89
1, 7, 3, 80
1, 7, 4, 32
1, 7, 5, 43
1, 7, 6, 50
1, 7, 7, 32
1, 7, 8, 6
1, 7, 9, 4
1, 7, 10, 1
1, 7, 11, 1
1, 8, 0, 1
1, 8, 1, 2
1, 8, 2, 61
1, 8, 3, 89
1, 8, 4, 95
1, 8, 5, 94
1, 8, 6, 101
1, 8, 7, 47
1, 8, 8, 0
1, 8, 9, 2
1, 8, 10, 1
1, 8, 11, 1
1, 9, 0, 1
1, 9, 1, 1
1, 9, 2, 1
1, 9, 3, 9
1, 9, 4, 10
1, 9, 5, 7
1, 9, 6, 15
1, 9, 7, 14
1, 9, 8, 0
1, 9, 9, 3
1, 9, 10, 1
1, 9, 11, 1
1, 10, 0, 1
1, 10, 1, 1
1, 10, 2, 1
1, 10, 3, 1
1, 10, 4, 1
1, 10, 5, 1
1, 10, 6, 42
1, 10, 7, 54
1, 10, 8, 53
1, 10, 9, 8
1, 10, 10, 1
1, 10, 11, 1
1, 11, 0, 1
1, 11, 1, 1
1, 11, 2, 1
1, 11, 3, 1
1, 11, 4, 1
1, 11, 5, 1
1, 11, 6, 49
1, 11, 7, 77
1, 11, 8, 47
1, 11, 9, 1
1, 11, 10, 1
1, 11, 11, 1
2, 0, 0, 0
2, 0, 1, 0
2, 0, 2, 0
2, 0, 3, 0
2, 0, 4, 0
2, 0, 5, 2
2, 0, 6, 0
2, 0, 7, 0
2, 0, 8, 0
2, 0, 9, 0
2, 0, 10, 0
2, 0, 11, 0
2, 1, 0, 0
2, 1, 1, 0
2, 1, 2, 0
2, 1, 3, 0
2, 1, 4, 0
2, 1, 5, 28
2, 1, 6, 0
2, 1, 7, 0
2, 1, 8, 0
2, 1, 9, 10
2, 1, 10, 14
2, 1, 11, 0
2, 2, 0, 0
2, 2, 1, 0
2, 2, 2, 0
2, 2, 3, 11
2, 2, 4, 38
2, 2, 5, 60
2, 2, 6, 0
2, 2, 7, 0
2, 2, 8, 0
2, 2, 9, 34
2, 2, 10, 31
2, 2, 11, 0
2, 3, 0, 0
2, 3, 1, 0
2, 3, 2, 0
2, 3, 3, 19
2, 3, 4, 73
2, 3, 5, 51
2, 3, 6, 0
2, 3, 7, 0
2, 3, 8, 9
2, 3, 9, 66
2, 3, 10, 40
2, 3, 11, 0
2, 4, 0, 0
2, 4, 1, 0
2, 4, 2, 14
2, 4, 3, 60
2, 4, 4, 76
2, 4, 5, 9
2, 4, 6, 0
2, 4, 7, 4
2, 4, 8, 26
2, 4, 9, 73
2, 4, 10, 32
2, 4, 11, 0
2, 5, 0, 0
2, 5, 1, 0
2, 5, 2, 20
2, 5, 3, 75
2, 5, 4, 61
2, 5, 5, 0
2, 5, 6, 0
2, 5, 7, 12
2, 5, 8, 67
2, 5, 9, 81
2, 5, 10, 6
2, 5, 11, 0
2, 6, 0, 0
2, 6, 1, 19
2, 6, 2, 21
2, 6, 3, 51
2, 6, 4, 26
2, 6, 5, 0
2, 6, 6, 7
2, 6, 7, 47
2, 6, 8, 84
2, 6, 9, 70
2, 6, 10, 0
2, 6, 11, 0
2, 7, 0, 0
2, 7, 1, 15
2, 7, 2, 28
2, 7, 3, 43
2, 7, 4, 36
2, 7, 5, 31
2, 7, 6, 44
2, 7, 7, 51
2, 7, 8, 81
2, 7, 9, 57
2, 7, 10, 0
2, 7, 11, 0
2, 8, 0, 0
2, 8, 1, 3
2, 8, 2, 30
2, 8, 3, 55
2, 8, 4, 57
2, 8, 5, 56
2, 8, 6, 60
2, 8, 7, 56
2, 8, 8, 80
2, 8, 9, 46
2, 8, 10, 0
2, 8, 11, 0
2, 9, 0, 0
2, 9, 1, 0
2, 9, 2, 0
2, 9, 3, 1
2, 9, 4, 7
2, 9, 5, 4
2, 9, 6, 18
2, 9, 7, 30
2, 9, 8, 77
2, 9, 9, 44
2, 9, 10, 0
2, 9, 11, 0
2, 10, 0, 0
2, 10, 1, 0
2, 10, 2, 0
2, 10, 3, 0
2, 10, 4, 0
2, 10, 5, 0
2, 10, 6, 25
2, 10, 7, 38
2, 10, 8, 76
2, 10, 9, 20
2, 10, 10, 0
2, 10, 11, 0
2, 11, 0, 0
2, 11, 1, 0
2, 11, 2, 0
2, 11, 3, 0
2, 11, 4, 0
2, 11, 5, 0
2, 11, 6, 25
2, 11, 7, 41
2, 11, 8, 46
2, 11, 9, 2
2, 11, 10, 0
2, 11, 11, 0
3, 0, 0, 0
3, 0, 1, 0
3, 0, 2, 0
3, 0, 3, 0
3, 0, 4, 2
3, 0, 5, 0
3, 0, 6, 0
3, 0, 7, 0
3, 0, 8, 0
3, 0, 9, 1
3, 0, 10, 0
3, 0, 11, 0
3, 1, 0, 0
3, 1, 1, 0
3, 1, 2, 0
3, 1, 3, 2
3, 1, 4, 6
3, 1, 5, 0
3, 1, 6, 0
3, 1, 7, 4
3, 1, 8, 0
3, 1, 9, 0
3, 1, 10, 0
3, 1, 11, 0
3, 2, 0, 0
3, 2, 1, 0
3, 2, 2, 0
3, 2, 3, 32
3, 2, 4, 19
3, 2, 5, 0
3, 2, 6, 0
3, 2, 7, 14
3, 2, 8, 14
3, 2, 9, 24
3, 2, 10, 0
3, 2, 11, 0
3, 3, 0, 0
3, 3, 1, 0
3, 3, 2, 5
3, 3, 3, 37
3, 3, 4, 9
3, 3, 5, 4
3, 3, 6, 0
3, 3, 7, 7
3, 3, 8, 23
3, 3, 9, 17
3, 3, 10, 0
3, 3, 11, 0
3, 4, 0, 0
3, 4, 1, 0
3, 4, 2, 32
3, 4, 3, 27
3, 4, 4, 8
3, 4, 5, 0
3, 4, 6, 0
3, 4, 7, 19
3, 4, 8, 37
3, 4, 9, 15
3, 4, 10, 0
3, 4, 11, 0
3, 5, 0, 0
3, 5, 1, 25
3, 5, 2, 31
3, 5, 3, 31
3, 5, 4, 0
3, 5, 5, 0
3, 5, 6, 4
3, 5, 7, 32
3, 5, 8, 27
3, 5, 9, 3
3, 5, 10, 0
3, 5, 11, 0
3, 6, 0, 0
3, 6, 1, 35
3, 6, 2, 34
3, 6, 3, 15
3, 6, 4, 0
3, 6, 5, 0
3, 6, 6, 0
3, 6, 7, 22
3, 6, 8, 16
3, 6, 9, 0
3, 6, 10, 0
3, 6, 11, 0
3, 7, 0, 0
3, 7, 1, 28
3, 7, 2, 55
3, 7, 3, 66
3, 7, 4, 64
3, 7, 5, 67
3, 7, 6, 69
3, 7, 7, 64
3, 7, 8, 27
3, 7, 9, 0
3, 7, 10, 0
3, 7, 11, 0
3, 8, 0, 0
3, 8, 1, 2
3, 8, 2, 21
3, 8, 3, 37
3, 8, 4, 51
3, 8, 5, 47
3, 8, 6, 54
3, 8, 7, 43
3, 8, 8, 11
3, 8, 9, 0
3, 8, 10, 0
3, 8, 11, 0
3, 9, 0, 0
3, 9, 1, 0
3, 9, 2, 0
3, 9, 3, 0
3, 9, 4, 0
3, 9, 5, 0
3, 9, 6, 23
3, 9, 7, 42
3, 9, 8, 14
3, 9, 9, 0
3, 9, 10, 0
3, 9, 11, 0
3, 10, 0, 0
3, 10, 1, 0
3, 10, 2, 0
3, 10, 3, 0
3, 10, 4, 0
3, 10, 5, 0
3, 10, 6, 47
3, 10, 7, 56
3, 10, 8, 22
3, 10, 9, 0
3, 10, 10, 0
3, 10, 11, 0
3, 11, 0, 0
3, 11, 1, 0
3, 11, 2, 0
3, 11, 3, 0
3, 11, 4, 0
3, 11, 5, 0
3, 11, 6, 31
3, 11, 7, 35
3, 11, 8, 9
3, 11, 9, 0
3, 11, 10, 0
3, 11, 11, 0
4, 0, 0, 8
4, 0, 1, 8
4, 0, 2, 8
4, 0, 3, 27
4, 0, 4, 30
4, 0, 5, 21
4, 0, 6, 8
4, 0, 7, 12
4, 0, 8, 16
4, 0, 9, 14
4, 0, 10, 8
4, 0, 11, 8
4, 1, 0, 8
4, 1, 1, 8
4, 1, 2, 8
4, 1, 3, 73
4, 1, 4, 66
4, 1, 5, 18
4, 1, 6, 8
4, 1, 7, 25
4, 1, 8, 51
4, 1, 9, 29
4, 1, 10, 8
4, 1, 11, 8
4, 2, 0, 8
4, 2, 1, 8
4, 2, 2, 31
4, 2, 3, 78
4, 2, 4, 34
4, 2, 5, 0
4, 2, 6, 8
4, 2, 7, 28
4, 2, 8, 59
4, 2, 9, 4
4, 2, 10, 7
4, 2, 11, 8
4, 3, 0, 8
4, 3, 1, 13
4, 3, 2, 85
4, 3, 3, 72
4, 3, 4, 0
4, 3, 5, 0
4, 3, 6, 8
4, 3, 7, 50
4, 3, 8, 56
4, 3, 9, 0
4, 3, 10, 2
4, 3, 11, 8
4, 4, 0, 8
4, 4, 1, 37
4, 4, 2, 83
4, 4, 3, 3
4, 4, 4, 0
4, 4, 5, 8
4, 4, 6, 18
4, 4, 7, 75
4, 4, 8, 44
4, 4, 9, 0
4, 4, 10, 4
4, 4, 11, 8
4, 5, 0, 8
4, 5, 1, 47
4, 5, 2, 62
4, 5, 3, 0
4, 5, 4, 0
4, 5, 5, 8
4, 5, 6, 42
4, 5, 7, 71
4, 5, 8, 0
4, 5, 9, 0
4, 5, 10, 8
4, 5, 11, 8
4, 6, 0, 8
4, 6, 1, 24
4, 6, 2, 8
4, 6, 3, 0
4, 6, 4, 73
4, 6, 5, 86
4, 6, 6, 98
4, 6, 7, 75
4, 6, 8, 0
4, 6, 9, 0
4, 6, 10, 8
4, 6, 11, 8
4, 7, 0, 8
4, 7, 1, 7
4, 7, 2, 0
4, 7, 3, 0
4, 7, 4, 21
4, 7, 5, 33
4, 7, 6, 35
4, 7, 7, 0
4, 7, 8, 0
4, 7, 9, 0
4, 7, 10, 8
4, 7, 11, 8
4, 8, 0, 8
4, 8, 1, 8
4, 8, 2, 0
4, 8, 3, 0
4, 8, 4, 0
4, 8, 5, 0
4, 8, 6, 0
4, 8, 7, 0
4, 8, 8, 0
4, 8, 9, 3
4, 8, 10, 8
4, 8, 11, 8
4, 9, 0, 8
4, 9, 1, 8
4, 9, 2, 8
4, 9, 3, 8
4, 9, 4, 8
4, 9, 5, 11
4, 9, 6, 28
4, 9, 7, 0
4, 9, 8, 0
