CNN inference debug log
----------------------

CONV1 [t=9235000]: ch=0, y=0, x=1, val=0
CONV1 [t=9235000]: ch=1, y=0, x=1, val=0
CONV1 [t=9235000]: ch=2, y=0, x=1, val=0
CONV1 [t=9235000]: ch=3, y=0, x=1, val=0
CONV1 [t=9235000]: ch=4, y=0, x=1, val=0
CONV1 [t=9235000]: ch=5, y=0, x=1, val=0
CONV1_PRE_RELU [t=9235000]: ch=0, y=0, x=1, val=-1
CONV1_PRE_RELU [t=9235000]: ch=1, y=0, x=1, val=-1
CONV1_PRE_RELU [t=9235000]: ch=2, y=0, x=1, val=-1
CONV1_PRE_RELU [t=9235000]: ch=3, y=0, x=1, val=-1
CONV1_PRE_RELU [t=9235000]: ch=4, y=0, x=1, val=-1
CONV1_PRE_RELU [t=9235000]: ch=5, y=0, x=1, val=-1
CONV1 [t=9245000]: ch=0, y=0, x=2, val=0
CONV1 [t=9245000]: ch=1, y=0, x=2, val=0
CONV1 [t=9245000]: ch=2, y=0, x=2, val=0
CONV1 [t=9245000]: ch=3, y=0, x=2, val=0
CONV1 [t=9245000]: ch=4, y=0, x=2, val=0
CONV1 [t=9245000]: ch=5, y=0, x=2, val=0
CONV1_PRE_RELU [t=9245000]: ch=0, y=0, x=2, val=-1
CONV1_PRE_RELU [t=9245000]: ch=1, y=0, x=2, val=-1
CONV1_PRE_RELU [t=9245000]: ch=2, y=0, x=2, val=-1
CONV1_PRE_RELU [t=9245000]: ch=3, y=0, x=2, val=-1
CONV1_PRE_RELU [t=9245000]: ch=4, y=0, x=2, val=-1
CONV1_PRE_RELU [t=9245000]: ch=5, y=0, x=2, val=-1
CONV1 [t=9255000]: ch=0, y=0, x=3, val=0
CONV1 [t=9255000]: ch=1, y=0, x=3, val=0
CONV1 [t=9255000]: ch=2, y=0, x=3, val=0
CONV1 [t=9255000]: ch=3, y=0, x=3, val=0
CONV1 [t=9255000]: ch=4, y=0, x=3, val=0
CONV1 [t=9255000]: ch=5, y=0, x=3, val=0
CONV1_PRE_RELU [t=9255000]: ch=0, y=0, x=3, val=-1
CONV1_PRE_RELU [t=9255000]: ch=1, y=0, x=3, val=-1
CONV1_PRE_RELU [t=9255000]: ch=2, y=0, x=3, val=-1
CONV1_PRE_RELU [t=9255000]: ch=3, y=0, x=3, val=-1
CONV1_PRE_RELU [t=9255000]: ch=4, y=0, x=3, val=-1
CONV1_PRE_RELU [t=9255000]: ch=5, y=0, x=3, val=-1
