# conv2 output: 16 channels
# Format: channel, y, x, value
0, 0, 0, 127
0, 0, 1, 127
0, 0, 2, 127
0, 0, 3, 127
0, 0, 4, 127
0, 0, 5, 127
0, 0, 6, 127
0, 0, 7, 127
0, 1, 0, 127
0, 1, 1, 127
0, 1, 2, 127
0, 1, 3, 127
0, 1, 4, 120
0, 1, 5, 120
0, 1, 6, 120
0, 1, 7, 120
0, 2, 0, 120
0, 2, 1, 127
0, 2, 2, 127
0, 2, 3, 120
0, 2, 4, 56
0, 2, 5, 56
0, 2, 6, 56
0, 2, 7, 56
0, 3, 0, 56
0, 3, 1, 127
0, 3, 2, 127
0, 3, 3, 127
0, 3, 4, 127
0, 3, 5, 127
0, 3, 6, 127
0, 3, 7, 127
0, 4, 0, 127
0, 4, 1, 127
0, 4, 2, 127
0, 4, 3, 127
0, 4, 4, 127
0, 4, 5, 127
0, 4, 6, 127
0, 4, 7, 127
0, 5, 0, 127
0, 5, 1, 127
0, 5, 2, 127
0, 5, 3, 127
0, 5, 4, 127
0, 5, 5, 127
0, 5, 6, 127
0, 5, 7, 127
0, 6, 0, 127
0, 6, 1, 127
0, 6, 2, 127
0, 6, 3, 127
0, 6, 4, 127
0, 6, 5, 127
0, 6, 6, 127
0, 6, 7, 127
0, 7, 0, 127
0, 7, 1, 127
0, 7, 2, 127
0, 7, 3, 127
0, 7, 4, 127
0, 7, 5, 127
0, 7, 6, 127
0, 7, 7, 127
1, 0, 0, 0
1, 0, 1, 25
1, 0, 2, 73
1, 0, 3, 41
1, 0, 4, 0
1, 0, 5, 0
1, 0, 6, 0
1, 0, 7, 0
1, 1, 0, 0
1, 1, 1, 41
1, 1, 2, 57
1, 1, 3, 9
1, 1, 4, 0
1, 1, 5, 0
1, 1, 6, 0
1, 1, 7, 0
1, 2, 0, 0
1, 2, 1, 73
1, 2, 2, 89
1, 2, 3, 0
1, 2, 4, 0
1, 2, 5, 0
1, 2, 6, 0
1, 2, 7, 0
1, 3, 0, 0
1, 3, 1, 41
1, 3, 2, 25
1, 3, 3, 73
1, 3, 4, 41
1, 3, 5, 41
1, 3, 6, 41
1, 3, 7, 41
1, 4, 0, 41
1, 4, 1, 25
1, 4, 2, 73
1, 4, 3, 73
1, 4, 4, 41
1, 4, 5, 41
1, 4, 6, 41
1, 4, 7, 41
1, 5, 0, 41
1, 5, 1, 121
1, 5, 2, 121
1, 5, 3, 89
1, 5, 4, 9
1, 5, 5, 9
1, 5, 6, 9
1, 5, 7, 9
1, 6, 0, 9
1, 6, 1, 121
1, 6, 2, 121
1, 6, 3, 89
1, 6, 4, 9
1, 6, 5, 9
1, 6, 6, 9
1, 6, 7, 9
1, 7, 0, 9
1, 7, 1, 9
1, 7, 2, 73
1, 7, 3, 89
1, 7, 4, 0
1, 7, 5, 0
1, 7, 6, 0
1, 7, 7, 0
2, 0, 0, 97
2, 0, 1, 113
2, 0, 2, 127
2, 0, 3, 127
2, 0, 4, 97
2, 0, 5, 97
2, 0, 6, 97
2, 0, 7, 97
2, 1, 0, 97
2, 1, 1, 127
2, 1, 2, 127
2, 1, 3, 127
2, 1, 4, 65
2, 1, 5, 65
2, 1, 6, 65
2, 1, 7, 65
2, 2, 0, 65
2, 2, 1, 127
2, 2, 2, 127
2, 2, 3, 65
2, 2, 4, 17
2, 2, 5, 17
2, 2, 6, 17
2, 2, 7, 17
2, 3, 0, 17
2, 3, 1, 127
2, 3, 2, 127
2, 3, 3, 127
2, 3, 4, 127
2, 3, 5, 127
2, 3, 6, 127
2, 3, 7, 127
2, 4, 0, 127
2, 4, 1, 127
2, 4, 2, 127
2, 4, 3, 127
2, 4, 4, 127
2, 4, 5, 127
2, 4, 6, 127
2, 4, 7, 127
2, 5, 0, 127
2, 5, 1, 127
2, 5, 2, 127
2, 5, 3, 127
2, 5, 4, 127
2, 5, 5, 127
2, 5, 6, 127
2, 5, 7, 127
2, 6, 0, 127
2, 6, 1, 127
2, 6, 2, 127
2, 6, 3, 127
2, 6, 4, 127
2, 6, 5, 127
2, 6, 6, 127
2, 6, 7, 127
2, 7, 0, 127
2, 7, 1, 97
2, 7, 2, 127
2, 7, 3, 127
2, 7, 4, 97
2, 7, 5, 97
2, 7, 6, 97
2, 7, 7, 97
3, 0, 0, 0
3, 0, 1, 0
3, 0, 2, 59
3, 0, 3, 0
3, 0, 4, 0
3, 0, 5, 0
3, 0, 6, 0
3, 0, 7, 0
3, 1, 0, 0
3, 1, 1, 0
3, 1, 2, 27
3, 1, 3, 0
3, 1, 4, 0
3, 1, 5, 0
