# fc1 output: 120 neurons
# Format: neuron_index, value
0, 15
1, 0
2, 0
3, 43
4, 36
5, 0
6, 0
7, 37
8, 24
9, 0
10, 44
11, 25
12, 0
13, 41
14, 0
15, 0
16, 49
17, 0
18, 18
19, 0
20, 7
21, 0
22, 0
23, 0
24, 0
25, 0
26, 39
27, 0
28, 6
29, 0
30, 0
31, 0
32, 35
33, 4
34, 23
35, 0
36, 0
37, 20
38, 57
39, 69
40, 3
41, 19
42, 0
43, 22
44, 0
45, 47
46, 0
47, 5
48, 0
49, 63
50, 0
51, 0
52, 66
53, 0
54, 0
55, 51
56, 34
57, 27
58, 11
59, 62
60, 0
61, 0
62, 0
63, 19
64, 27
65, 0
66, 17
67, 21
68, 0
69, 19
70, 18
71, 0
72, 0
73, 27
74, 33
75, 0
76, 0
77, 1
78, 0
79, 0
80, 35
81, 56
82, 0
83, 17
84, 0
85, 27
86, 0
87, 52
88, 0
89, 26
90, 0
91, 0
92, 0
93, 0
94, 0
95, 0
96, 42
97, 0
98, 0
99, 0
100, 11
101, 22
102, 0
103, 44
104, 0
105, 20
106, 0
107, 0
108, 36
109, 2
110, 17
111, 0
112, 8
113, 56
114, 30
115, 0
116, 0
117, 13
118, 0
119, 32
