# pool2 output: 16 channels
# Format: channel, y, x, value
0, 0, 0, 127
0, 0, 1, 127
0, 0, 2, 127
0, 0, 3, 127
0, 1, 0, 127
0, 1, 1, 127
0, 1, 2, 127
0, 1, 3, 127
0, 2, 0, 127
0, 2, 1, 127
0, 2, 2, 127
0, 2, 3, 127
0, 3, 0, 127
0, 3, 1, 127
0, 3, 2, 127
0, 3, 3, 127
1, 0, 0, 41
1, 0, 1, 73
1, 0, 2, 0
1, 0, 3, 0
1, 1, 0, 73
1, 1, 1, 89
1, 1, 2, 41
1, 1, 3, 41
1, 2, 0, 121
1, 2, 1, 121
1, 2, 2, 41
1, 2, 3, 41
1, 3, 0, 121
1, 3, 1, 121
1, 3, 2, 9
1, 3, 3, 9
2, 0, 0, 127
2, 0, 1, 127
2, 0, 2, 97
2, 0, 3, 97
2, 1, 0, 127
2, 1, 1, 127
2, 1, 2, 127
2, 1, 3, 127
2, 2, 0, 127
2, 2, 1, 127
2, 2, 2, 127
2, 2, 3, 127
2, 3, 0, 127
2, 3, 1, 127
2, 3, 2, 127
2, 3, 3, 127
3, 0, 0, 0
3, 0, 1, 59
3, 0, 2, 0
3, 0, 3, 0
3, 1, 0, 11
3, 1, 1, 27
3, 1, 2, 0
3, 1, 3, 0
3, 2, 0, 59
3, 2, 1, 59
3, 2, 2, 0
3, 2, 3, 0
3, 3, 0, 59
3, 3, 1, 59
3, 3, 2, 0
3, 3, 3, 0
4, 0, 0, 58
4, 0, 1, 90
4, 0, 2, 26
4, 0, 3, 26
4, 1, 0, 58
4, 1, 1, 106
4, 1, 2, 58
4, 1, 3, 58
4, 2, 0, 127
4, 2, 1, 127
4, 2, 2, 58
4, 2, 3, 58
4, 3, 0, 127
4, 3, 1, 127
4, 3, 2, 58
4, 3, 3, 58
5, 0, 0, 88
5, 0, 1, 120
5, 0, 2, 0
5, 0, 3, 0
5, 1, 0, 88
5, 1, 1, 88
5, 1, 2, 40
5, 1, 3, 40
5, 2, 0, 127
5, 2, 1, 127
5, 2, 2, 40
5, 2, 3, 40
5, 3, 0, 127
5, 3, 1, 127
5, 3, 2, 24
5, 3, 3, 24
6, 0, 0, 127
6, 0, 1, 127
6, 0, 2, 0
6, 0, 3, 0
6, 1, 0, 127
6, 1, 1, 127
6, 1, 2, 41
6, 1, 3, 41
6, 2, 0, 127
6, 2, 1, 127
6, 2, 2, 41
6, 2, 3, 41
6, 3, 0, 127
6, 3, 1, 127
6, 3, 2, 9
6, 3, 3, 9
7, 0, 0, 127
7, 0, 1, 127
7, 0, 2, 67
7, 0, 3, 67
7, 1, 0, 127
7, 1, 1, 127
7, 1, 2, 127
7, 1, 3, 127
7, 2, 0, 127
7, 2, 1, 127
7, 2, 2, 127
7, 2, 3, 127
7, 3, 0, 127
7, 3, 1, 127
7, 3, 2, 115
7, 3, 3, 115
8, 0, 0, 127
8, 0, 1, 127
8, 0, 2, 127
8, 0, 3, 127
8, 1, 0, 127
8, 1, 1, 127
8, 1, 2, 127
8, 1, 3, 127
8, 2, 0, 127
8, 2, 1, 127
8, 2, 2, 127
8, 2, 3, 127
8, 3, 0, 127
8, 3, 1, 127
8, 3, 2, 127
8, 3, 3, 127
9, 0, 0, 95
9, 0, 1, 127
9, 0, 2, 63
9, 0, 3, 63
9, 1, 0, 111
9, 1, 1, 127
9, 1, 2, 95
9, 1, 3, 95
9, 2, 0, 127
9, 2, 1, 127
9, 2, 2, 95
9, 2, 3, 95
9, 3, 0, 127
9, 3, 1, 127
9, 3, 2, 79
9, 3, 3, 79
10, 0, 0, 127
10, 0, 1, 127
10, 0, 2, 121
10, 0, 3, 121
10, 1, 0, 127
10, 1, 1, 127
10, 1, 2, 127
10, 1, 3, 127
10, 2, 0, 127
10, 2, 1, 127
10, 2, 2, 127
10, 2, 3, 127
10, 3, 0, 127
10, 3, 1, 127
10, 3, 2, 127
10, 3, 3, 127
11, 0, 0, 127
11, 0, 1, 127
11, 0, 2, 53
11, 0, 3, 53
11, 1, 0, 127
11, 1, 1, 127
11, 1, 2, 85
11, 1, 3, 85
11, 2, 0, 127
11, 2, 1, 127
11, 2, 2, 85
11, 2, 3, 85
11, 3, 0, 127
11, 3, 1, 127
11, 3, 2, 69
11, 3, 3, 69
12, 0, 0, 97
12, 0, 1, 127
12, 0, 2, 33
12, 0, 3, 33
12, 1, 0, 113
12, 1, 1, 113
12, 1, 2, 65
12, 1, 3, 65
12, 2, 0, 127
12, 2, 1, 127
12, 2, 2, 65
12, 2, 3, 65
12, 3, 0, 127
12, 3, 1, 127
